source_path,system,run_id,R_true,pi_true,rho_sampled_pi_mean,rho_collapsed_mean,log_B_median,abs_difference
notebooks/asymmetric_prior_sweep_2026-05-10/runs/synthetic/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__pres95_abs05_sig30,2024 Leading Chat LLMs,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__pres95_abs05_sig30,1,0.1,0.011611598904751134,0.011655383456471491,-5.733070994561757,4.378455172035674e-05
notebooks/asymmetric_prior_sweep_2026-05-10/runs/synthetic/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__pres95_abs05_sig30,ELIZA,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__pres95_abs05_sig30,0,0.001,8.215812048604671e-07,8.215812048604609e-07,-8.666623438747685,6.246867986000465e-21
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,Human,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,1,0.999,0.9999930553036939,0.999993055303694,6.920593026228275,1.1102230246251565e-16
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,Chicken,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,0,0.25,0.07097424328978494,0.07085067345612288,-1.7184522416628596,0.00012356983366205998
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,2024 Leading Chat LLMs,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,1,0.1,0.10468558431080911,0.1041458045482247,-2.347087064416428,0.0005397797625844164
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,ELIZA,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,0,0.001,2.0182828184438022e-05,2.0182828184437876e-05,-5.278828650434981,1.4568966692773966e-19
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK10,Human,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK10,1,0.999,0.7561204588707607,0.7561204588707608,11.645260703429187,1.1102230246251565e-16
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK10,Chicken,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK10,0,0.25,0.20610880667099432,0.20800923151368664,-0.008148785028993188,0.0019004248426923165
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK10,2024 Leading Chat LLMs,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK10,1,0.1,0.4926144790277322,0.4928043769669975,1.9213405671382588,0.0001898979392653266
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK10,ELIZA,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK10,0,0.001,9.504933267553793e-05,9.50493326755345e-05,-2.8195554830709852,3.4287893704854078e-18
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK2,Human,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK2,1,0.999,0.9999999541617566,0.9999999541617567,10.279304214061554,1.1102230246251565e-16
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK2,Chicken,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK2,0,0.25,0.1581261389868988,0.1553991986333275,-0.4059187392443562,0.002726940353571322
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK2,2024 Leading Chat LLMs,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK2,1,0.1,0.46685016284064557,0.46507721437863986,1.4249296200201798,0.0017729484620057079
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK2,ELIZA,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK2,0,0.001,0.00012983406795582156,0.0001298340679558206,-2.491481323861109,9.486769009248164e-19
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK20,Human,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK20,1,0.999,0.7509995227235841,0.7509995227235813,11.648111934588883,2.7755575615628914e-15
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK20,Chicken,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK20,0,0.25,0.21417299222598007,0.21253266205670254,0.03475977903144667,0.0016403301692775318
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK20,2024 Leading Chat LLMs,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK20,1,0.1,0.4949202897892876,0.49178661458179124,1.9301897477853345,0.003133675207496356
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK20,ELIZA,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK20,0,0.001,9.501254672506543e-05,9.501254672508352e-05,-2.794136051182477,1.8092623753351855e-17
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK5,Human,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK5,1,0.999,0.7719613435343385,0.7719613435343394,11.764492307771206,8.881784197001252e-16
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK5,Chicken,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK5,0,0.25,0.1875563359795558,0.18659609951621667,-0.14171306706350606,0.0009602364633391203
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK5,2024 Leading Chat LLMs,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK5,1,0.1,0.4961621435027769,0.49436779832440086,1.9213830916930874,0.0017943451783760112
notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK5,ELIZA,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK5,0,0.001,5.506035102616232e-05,5.506035102616201e-05,-3.3195678447413854,3.1170812458958252e-19
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,Human,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,1,0.999,0.9999361359135888,0.9999361359135888,3.129839050645934,0.0
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,Chicken,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,0,0.25,0.03177737570284706,0.031928663319339495,-2.00735449124619,0.00015128761649243344
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,2024 Leading Chat LLMs,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,1,0.1,0.36185091943602365,0.36100892775920407,0.9612034110997456,0.0008419916768195868
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,ELIZA,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506,0,0.001,0.00021345815784007912,0.0002134581578400777,-1.6958291701586887,1.4094628242311558e-18
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,Human,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,1,0.999,0.9999383596401568,0.9999383596401564,3.0448604993044626,3.3306690738754696e-16
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,Chicken,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,0,0.25,0.03927211137765013,0.037537997742490906,-1.8908819535587895,0.0017341136351592262
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,2024 Leading Chat LLMs,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,1,0.1,0.3606415438528322,0.37698758366420393,1.0115327072290086,0.016346039811371726
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,ELIZA,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__smoke,0,0.001,0.0002471659751161149,0.0002471659751161134,-1.675631739317403,1.5178830414797062e-18
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,Human,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,1,0.999,0.9994242697151076,0.9994242697151076,0.813943955282042,0.0
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,Chicken,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,0,0.25,0.010024601256606992,0.009497504993292835,-3.497173616310306,0.0005270962633141564
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,2024 Leading Chat LLMs,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,0,0.1,0.2359834409304778,0.23550639244744406,0.3098171796814313,0.0004770484830337318
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,ELIZA,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,0,0.001,0.0037171667907166164,0.0037171667907165934,1.130263014360608,2.2985086056692694e-17
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,Human,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,1,0.999,0.9996495305885851,0.9996495305885851,1.230663686724661,0.0
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,Chicken,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,0,0.25,0.11893086302224234,0.11599981845356731,-0.5682906659884424,0.0029310445686750314
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,2024 Leading Chat LLMs,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,0,0.1,0.11762674591777428,0.11742020367011913,-0.5806484878664833,0.0002065422476551504
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,ELIZA,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,0,0.001,5.438531545859404e-05,5.438531545859366e-05,-3.275223720806622,3.7947076036992655e-19
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,Human,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,1,0.999,0.9990614185357822,0.9990614185357822,0.21980977181251404,0.0
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,Chicken,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,0,0.25,0.12077989145247302,0.1211729876098864,-0.45723516858781466,0.00039309615741338344
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,2024 Leading Chat LLMs,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,0,0.1,0.03578891524669495,0.03566591625470782,-1.9665931070878742,0.00012299899198712355
notebooks/synthetic_validation_2026-05-06/runs/full_exact_recovery/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,ELIZA,exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,0,0.001,9.70925939562666e-05,9.709259395626591e-05,-2.5686567785258916,6.911788849595091e-19
