index,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_pres__weak_undermining__neutral,0.0,0.001,7407.0,2665.0,1.0
beta_abs__moderate_support__moderately_demanding,0.0,0.001,6189.0,2642.0,1.0
beta_abs__moderate_support__moderately_undemanding,0.0,0.001,7495.0,2720.0,1.0
beta_abs__moderate_support__neutral,0.0,0.001,8814.0,2971.0,1.0
beta_abs__moderate_support__strongly_demanding,0.0,0.001,7121.0,2780.0,1.0
beta_abs__moderate_support__weakly_demanding,0.0,0.001,10645.0,2702.0,1.0
beta_abs__moderate_support__weakly_undemanding,0.0,0.001,7198.0,2929.0,1.0
beta_abs__strong_support__moderately_demanding,0.0,0.001,8222.0,2877.0,1.0
beta_abs__strong_support__moderately_undemanding,0.0,0.0,7355.0,2952.0,1.0
beta_abs__strong_support__neutral,0.0,0.0,6204.0,2930.0,1.0
beta_abs__strong_support__strongly_demanding,0.0,0.001,7255.0,2771.0,1.0
beta_abs__strong_support__weakly_demanding,0.0,0.001,8319.0,2462.0,1.0
beta_abs__strong_support__weakly_undemanding,0.0,0.001,9551.0,2863.0,1.0
beta_abs__weak_support__moderately_demanding,0.0,0.001,8634.0,3118.0,1.0
beta_abs__weak_support__moderately_undemanding,0.0,0.001,7629.0,2917.0,1.0
beta_abs__weak_support__neutral,0.0,0.001,8342.0,2824.0,1.0
beta_abs__weak_support__strongly_undemanding,0.0,0.001,8330.0,3168.0,1.0
beta_abs__weak_support__weakly_undemanding,0.0,0.001,8640.0,2884.0,1.0
beta_abs__weak_undermining__neutral,0.0,0.001,8172.0,2856.0,1.0
label_delta__moderate_support__moderately_demanding,0.001,0.001,6476.0,2744.0,1.0
label_delta__moderate_support__moderately_undemanding,0.0,0.001,7523.0,2817.0,1.0
label_delta__moderate_support__neutral,0.001,0.001,6852.0,3173.0,1.0
label_delta__moderate_support__strongly_demanding,0.0,0.001,7535.0,2790.0,1.0
label_delta__moderate_support__weakly_demanding,0.0,0.001,8990.0,3007.0,1.0
label_delta__moderate_support__weakly_undemanding,0.0,0.001,7335.0,3306.0,1.0
label_delta__strong_support__moderately_demanding,0.001,0.001,6306.0,2753.0,1.0
label_delta__strong_support__moderately_undemanding,0.0,0.001,6891.0,2858.0,1.0
label_delta__strong_support__neutral,0.0,0.001,6338.0,2968.0,1.0
label_delta__strong_support__strongly_demanding,0.0,0.001,7704.0,2951.0,1.0
label_delta__strong_support__weakly_demanding,0.0,0.001,7197.0,2919.0,1.0
label_delta__strong_support__weakly_undemanding,0.0,0.001,8674.0,3111.0,1.0
label_delta__weak_support__moderately_demanding,0.0,0.001,7021.0,2378.0,1.0
label_delta__weak_support__moderately_undemanding,0.0,0.001,6997.0,2867.0,1.0
label_delta__weak_support__neutral,0.0,0.001,7293.0,2862.0,1.0
label_delta__weak_support__strongly_undemanding,0.0,0.001,7873.0,2803.0,1.0
label_delta__weak_support__weakly_undemanding,0.0,0.001,8366.0,2859.0,1.0
label_delta__weak_undermining__neutral,0.0,0.001,7628.0,3098.0,1.0
